일자,Shift,공장,공정,차종,설비,제품,작업자,실적,계획,작업시간,효율,C/T,비가동,비가동시간(분),부적합,부적합수량,불량,불량수량
2020-01-02,주간,DF공장,조립공정,AK차종,조립1라인,제품-050,AP-작업자,374,400,270,1,25.7,기타,10,,,,
2020-01-02,주간,DF공장,조립공정,AK차종,조립1라인,제품-050,AP-작업자,,,,,,교육,40,,,,
2020-01-02,주간,DF공장,조립공정,AT차종,조립1라인,제품-044,AP-작업자,288,300,190,1,27.7,작업변경,20,,,,
2020-01-02,주간,DF공장,조립공정,AT차종,조립1라인,제품-044,AP-작업자,,,,,,3정5행,20,,,,
2020-01-02,주간,DF공장,조립공정,AM차종,조립3라인,제품-047,AU-작업자,31,40,100,1,26.7,기타,10,,,,
2020-01-02,주간,DF공장,조립공정,AM차종,조립3라인,제품-047,AU-작업자,,,,,,교육,10,,,,
2020-01-02,주간,DF공장,조립공정,BA차종,조립2라인,제품-052,AU-작업자,72,72,50,1,27.7,,,,,,
2020-01-02,주간,DF공장,조립공정,AM차종,조립3라인,제품-047,AU-작업자,394,450,300,1,26.7,교육,30,,,,
2020-01-02,주간,DF공장,조립공정,AM차종,조립3라인,제품-047,AU-작업자,,,,,,3정5행,10,,,,
2020-01-02,주간,DF공장,조립공정,AX차종,조립5라인,제품-041,CV-작업자,360,400,230,1,25.7,기타,20,,,,
2020-01-02,주간,DF공장,조립공정,AX차종,조립5라인,제품-041,CV-작업자,,,,,,자주검사,15,,,,
2020-01-02,주간,DF공장,조립공정,AX차종,조립5라인,제품-041,CV-작업자,,,,,,교육,30,,,,
2020-01-02,주간,DF공장,조립공정,AX차종,조립5라인,제품-040,CV-작업자,360,380,160,1,25.7,작업변경,10,,,,
2020-01-02,주간,DF공장,조립공정,AX차종,조립5라인,제품-038,CV-작업자,72,80,70,1,25.7,자주검사,10,,,,
2020-01-02,야간,DF공장,사출공정,AB차종,3호기,제품-029,CO-작업자,535,600,580,1,75,,,,,,
2020-01-02,주간,DF공장,사출공정,AB차종,3호기,제품-029,BM-작업자,296,296,460,1,75,기타,20,,,성형,3
2020-01-02,야간,DF공장,사출공정,AR차종,5호기,제품-019,BB-작업자,970,970,580,1,36,,,,,성형,2
2020-01-02,야간,DF공장,사출공정,AS차종,8호기,제품-010,AR-작업자,967,967,580,1,36,,,,,성형,4
2020-01-02,주간,DF공장,사출공정,AB차종,3호기,제품-029,BM-작업자,,,,,,교육,40,,,,
2020-01-02,야간,DF공장,사출공정,BB차종,13호기,제품-027,DD-작업자,677,677,580,1,48,,,,,,
2020-01-02,주간,DF공장,사출공정,BB차종,13호기,제품-027,CZ-작업자,476,476,460,1,48,교육,50,,,,
2020-01-02,야간,DF공장,사출공정,BE차종,12호기,제품-023,DG-작업자,935,935,580,1,37.1,,,,,,
2020-01-02,주간,DF공장,사출공정,BE차종,12호기,제품-023,BN-작업자,647,647,460,1,37.1,교육,60,,,,
2020-01-02,야간,DF공장,사출공정,BD차종,11호기,제품-022,BH-작업자,530,530,580,1,65.4,,,,,,
2020-01-02,주간,DF공장,사출공정,BD차종,11호기,제품-022,AV-작업자,290,290,460,1,65.4,불량,60,,,,
2020-01-02,주간,DF공장,사출공정,BD차종,12호기,제품-022,AV-작업자,,,,,,교육,40,,,,
2020-01-02,야간,DF공장,사출공정,AG차종,10호기,제품-014,AO-작업자,967,967,580,1,37.1,,,,,,
2020-01-02,주간,DF공장,사출공정,AG차종,10호기,제품-014,BT-작업자,670,670,460,1,37.1,기타,20,,,,
2020-01-02,주간,DF공장,사출공정,AG차종,10호기,제품-014,BT-작업자,,,,,,교육,40,,,,
2020-01-02,주간,DF공장,사출공정,AR차종,5호기,제품-019,DB-작업자,767,767,460,1,36,기타,20,,,,
2020-01-02,주간,DF공장,사출공정,AR차종,5호기,제품-019,DB-작업자,,,,,,교육,40,,,,
2020-01-02,야간,DF공장,사출공정,AA차종,7호기,제품-026,CK-작업자,975,975,580,1,36,,,,,,
2020-01-02,주간,DF공장,사출공정,AA차종,7호기,제품-026,BV-작업자,600,650,460,1,36,기타,20,,,,
2020-01-02,주간,DF공장,사출공정,AA차종,7호기,제품-026,BV-작업자,,,,,,교육,40,,,,
2020-01-02,주간,DF공장,사출공정,AA차종,7호기,제품-026,BV-작업자,,,,,,설비이상,45,,,,
2020-01-02,야간,DF공장,사출공정,AX차종,6호기,제품-011,CU-작업자,856,900,580,1,37.1,작업변경,70,,,,
2020-01-02,야간,DF공장,사출공정,AX차종,6호기,제품-011,CU-작업자,,,,1,37.1,,,,,,
2020-01-02,주간,DF공장,사출공정,AX차종,6호기,제품-011,BE-작업자,610,650,460,1,37.1,기타,40,,,,
